code,name,description
TRIENNIAL,triennial,The event occurs every three years.
BIENNIAL,biennial,The event occurs every two years.
ANNUAL,annual,The event occurs once a year.
ANNUAL_2,semiannual,The event occurs twice a year.
ANNUAL_3,three times a year,The event occurs three times a year.
QUARTERLY,quarterly,The event occurs every three months.
BIMONTHLY,bimonthly,The event occurs every two months.
MONTHLY,monthly,The event occurs once a month.
MONTHLY_2,semimonthly,The event occurs twice a month.
BIWEEKLY,biweekly,The event occurs every two weeks.
MONTHLY_3,three times a month,The event occurs three times a month.
WEEKLY,weekly,The event occurs once a week.
WEEKLY_2,semiweekly,The event occurs twice a week.
WEEKLY_3,three times a week,The event occurs three times a week.
DAILY,daily,The event occurs once a day.
UPDATE_CONT,continuously updated,The event repeats without interruption.
IRREG,irregular,The event occurs at uneven intervals.
UNKNOWN,unknown,The event occurs with unknown regularity.
OTHER,other,"The event occurs with another type of regularity (for instance, every leap year)."
DAILY_2,twice a day,The event occurs twice a day.
CONT,continuous,The item is updated more frequent than daily.
NEVER,never,The item is never updated.
QUADRENNIAL,quadrennial,The event occurs every four years.
QUINQUENNIAL,quinquennial,The event occurs every five years.
HOURLY,hourly,The event occurs every hour.
DECENNIAL,decennial,The event occurs every ten years.
BIHOURLY,bihourly,The event occurs every two hours.
TRIHOURLY,trihourly,The event occurs every three hours.
BIDECENNIAL,bidecennial,The event occurs every twenty years.
TRIDECENNIAL,tridecennial,The event occurs every thirty years.
