code,name
ENG,inglês
AAA,Ghotuo
AAB,Alumu-Tesu
AAC,Ari
AAD,Amal
AAE,Arbëreshë Albanian
AAF,Aranadan
AAG,Ambrak
AAH,Abu' Arapesh
AAI,Arifama-Miniafia
AAK,Ankave
AAL,Afade
AAM,Aramanik
AAN,Anambé
AAO,Algerian Saharan Arabic
AAP,Pará Arára
AAQ,Eastern Abnaki
AAR,Afar
AAS,Aasáx
AAT,Arvanitika Albanian
AAU,Abau
AAW,Solong
AAX,Mandobo Atas
AAZ,Amarasi
ABA,Abé
ABB,Bankon
ABC,Ambala Ayta
ABD,Camarines Norte Agta
ABE,Western Abnaki
ABF,Abai Sungai
ABG,Abaga
ABH,Tajiki Arabic
ABI,Abidji
ABJ,Aka-Bea
ABK,Abkhazian
ABL,Lampung Nyo
ABM,Abanyom
ABN,Abua
ABO,Abon
ABP,Abenlen Ayta
ABQ,Abaza
ABR,Abron
ABS,Ambonese Malay
ABT,Ambulas
ABU,Abure
ABV,Baharna Arabic
ABW,Pal
ABX,Inabaknon
ABY,Aneme Wake
ABZ,Abui
ACA,Achagua
ACB,Áncá
ACD,Gikyode
ACE,Achinese
ACF,Saint Lucian Creole French
ACH,Acoli
ACI,Aka-Cari
ACK,Aka-Kora
ACL,Akar-Bale
ACM,Mesopotamian Arabic
ACN,Achang
ACP,Eastern Acipa
ACQ,Ta'izzi-Adeni Arabic
ACR,Achi
ACS,Acroá
ACT,Achterhoeks
ACU,Achuar-Shiwiar
ACV,Achumawi
ACW,Hijazi Arabic
ACX,Omani Arabic
ACY,Cypriot Arabic
ACZ,Acheron
ADA,Adangme
ADB,Adabe
ADD,Dzodinka
ADE,Adele
ADF,Dhofari Arabic
ADG,Andegerebinha
ADH,Adhola
ADI,Adi
ADJ,Adioukrou
ADL,Galo
ADN,Adang
ADO,Abu
ADP,Adap
ADQ,Adangbe
ADR,Adonara
ADS,língua gestual de Adamorobe
ADT,Adnyamathanha
ADU,Aduge
ADW,Amundava
ADX,Amdo Tibetan
ADY,Adyghe
ADZ,Adzera
AEA,Areba
AEB,Tunisian Arabic
AEC,Saidi Arabic
AED,língua gestual argentina
AEE,Northeast Pashayi
AEK,Haeke
AEL,Ambele
AEM,Arem
AEN,língua gestual armeniana
AEQ,Aer
AER,Eastern Arrernte
AES,Alsea
AEU,Akeu
AEW,Ambakich
AEY,Amele
AEZ,Aeka
AFB,Gulf Arabic
AFD,Andai
AFE,Putukwam
AFG,Afghan Sign Language
AFH,Afrihili
AFI,Akrukay
AFK,Nanubae
AFN,Defaka
AFO,Eloyi
AFP,Tapei
AFR,africanse
AFS,Afro-Seminole Creole
AFT,Afitti
AFU,Awutu
AFZ,Obokuitai
AGA,Aguano
AGB,Legbo
AGC,Agatu
AGD,Agarabi
AGE,Angal
AGF,Arguni
AGG,Angor
AGH,Ngelima
AGI,Agariya
AGJ,Argobba
AGK,Isarog Agta
AGL,Fembe
AGM,Angaataha
AGN,Agutaynen
AGO,Tainae
AGP,Paranan
AGQ,Aghem
AGR,Aguaruna
AGS,Esimbi
AGT,Central Cagayan Agta
AGU,Aguacateco
AGV,Remontado Agta
AGW,Kahua
AGX,Aghul
AGY,Southern Alta
AGZ,Mt. Iriga Agta
AHA,Ahanta
AHB,Axamb
AHG,Qimant
AHH,Aghu
AHI,Tiagbamrin Aizi
AHK,Akha
AHL,Igo
AHM,Mobumrin Aizi
AHN,Àhàn
AHO,Ahom
AHP,Aproumu Aizi
AHR,Ahirani
AHS,Ashe
AHT,Ahtena
AIA,Arosi
AIB,Ainu (China)
AIC,Ainbai
AID,Alngith
AIE,Amara
AIF,Agi
AIG,Antigua and Barbuda Creole English
AIH,Ai-Cham
AII,Assyrian Neo-Aramaic
AIJ,Lishanid Noshan
AIK,Ake
AIL,Aimele
AIM,Aimol
AIN,Ainu (Japan)
AIO,Aiton
AIP,Burumakok
AIQ,Aimaq
AIR,Airoran
AIS,Nataoran Amis
AIT,Arikem
AIW,Aari
AIX,Aighon
AIY,Ali
AJA,Aja (Sudan)
AJG,Aja (Benin)
AJI,Ajië
AJP,South Levantine Arabic
AJT,Judeo-Tunisian Arabic
AJU,Judeo-Moroccan Arabic
AJW,Ajawa
AJZ,Amri Karbi
AKA,Akan
AKB,Batak Angkola
AKC,Mpur
AKD,Ukpet-Ehom
AKE,Akawaio
AKF,Akpa
AKG,Anakalangu
AKH,Angal Heneng
AKI,Aiome
AKJ,Aka-Jeru
AKK,Akkadian
AKL,Aklanon
AKM,Aka-Bo
AKO,Akurio
AKP,Siwu
AKQ,Ak
AKR,Araki
AKS,Akaselem
AKT,Akolet
AKU,Akum
AKV,Akhvakh
AKW,Akwa
AKX,Aka-Kede
AKY,Aka-Kol
AKZ,Alabama
ALA,Alago
ALC,Qawasqar
ALD,Alladian
ALE,Aleut
ALF,Alege
ALH,Alawa
ALI,Amaimon
ALJ,Alangan
ALK,Alak
ALL,Allar
ALM,Amblong
ALN,Gheg Albanian
ALO,Larike-Wakasihu
ALP,Alune
ALQ,Algonquin
ALR,Alutor
ALS,Tosk Albanian
ALT,Southern Altai
ALU,'Are'are
ALW,Alaba-K’abeena
ALX,Amol
ALY,Alyawarr
ALZ,Alur
AMA,Amanayé
AMB,Ambo
AMC,Amahuaca
AME,Yanesha'
AMF,Hamer-Banna
AMG,Amarag
AMH,amárico
AMI,Amis
AMJ,Amdang
AMK,Ambai
AML,War-Jaintia
AMM,Ama (Papua New Guinea)
AMN,Amanab
AMO,Amo
AMP,Alamblak
AMQ,Amahai
AMR,Amarakaeri
AMS,Southern Amami-Oshima
AMT,Amto
AMU,Guerrero Amuzgo
AMV,Ambelau
AMW,Western Neo-Aramaic
AMX,Anmatyerre
AMY,Ami
AMZ,Atampaya
ANA,Andaqui
ANB,Andoa
ANC,Ngas
AND,Ansus
ANE,Xârâcùù
