code,name,description
COM_REUSE,European Commission reuse notice,"According to the European Commission reuse notice, reuse is authorised, provided the source is acknowledged. The reuse policy of the European Commission is implemented by the Decision of 12 December 2011. The general principle of reuse can be subject to conditions which may be specified in individual copyright notices. Therefore users are advised to refer to the copyright notices of the individual websites maintained under Europa and of the individual documents. Reuse is not applicable to documents subject to intellectual property rights of third parties."
ISA_OML,ISA Open Metadata Licence 1.1,"The ISA Open metadata licence 1.1 is a permissive open licence created by the European Commission to support the publication of technical and semantic specifications. Users are allowed to distribute, copy, adapt or modify the licenced work for any commercial and non-commercial purpose with only a limited set of conditions."
CC0,Creative Commons CC0 1.0 Universal,"The person who associated a work with CC0 1.0 has dedicated the work to the public domain by waiving all of his or her rights to the work worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law. One can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission."
CC_BY_3_0,Creative Commons Attribution 3.0 Unported,"CC BY 3.0 lets others distribute, remix, tweak, and build upon the author’s work, even commercially, as long as they credit the author for the original creation. This is the most accommodating of licences offered. Recommended for maximum dissemination and use of licenced materials."
CC_BYSA_3_0,Creative Commons Attribution–ShareAlike 3.0 Unported,"CC BY-SA 3.0 lets others remix, tweak, and build upon the author’s work even for commercial purposes, as long as they credit the author and licence their new creations under the identical terms. This licence is often compared to “copyleft” free and open source software licences. All new works based on the original work will carry the same licence, so any derivatives will also allow commercial use. This is the licence used by Wikipedia, and is recommended for materials that would benefit from incorporating content from Wikipedia and similarly licenced projects."
CC_BYND_3_0,Creative Commons Attribution–NoDerivs 3.0 Unported,"CC BY-ND 3.0 allows for redistribution, commercial and non-commercial, as long as it is passed along unchanged and in whole, with credit to the author."
CC_BYNC_3_0,Creative Commons Attribution–NonCommercial 3.0 Unported,"CC BY-NC 3.0 lets others remix, tweak, and build upon the author’s work non-commercially, and although their new works must also acknowledge the author and be non-commercial, they don’t have to licence their derivative works on the same terms."
CC_BYNCSA_3_0,Creative Commons Attribution–NonCommercial–ShareAlike 3.0 Unported,"CC BY-NC-SA 3.0 lets others remix, tweak, and build upon the author’s work non-commercially, as long as they credit the author and licence their new creations under the identical terms."
CC_BYNCND_3_0,Creative Commons Attribution–NonCommercial–NoDerivs 3.0 Unported,"CC BY-ND-NC 3.0 is the most restrictive of the six main licences of Creative Commons, only allowing others to download the works and share them with others as long as they credit the author, but they can’t change them in any way or use them commercially."
CC_BY_2_0,Creative Commons Attribution 2.0 Generic,"CC BY 2.0 lets others distribute, remix, tweak, and build upon the author’s work, even commercially, as long as they credit the author for the original creation. This is the most accommodating of licences offered. Recommended for maximum dissemination and use of licenced materials."
CC_BYSA_2_0,Creative Commons Attribution–ShareAlike 2.0 Generic,"CC BY-SA 2.0 lets others remix, tweak, and build upon the author’s work even for commercial purposes, as long as they credit the author and licence their new creations under the identical terms. This licence is often compared to “copyleft” free and open source software licences. All new works based on the original work will carry the same licence, so any derivatives will also allow commercial use. This is the licence used by Wikipedia, and is recommended for materials that would benefit from incorporating content from Wikipedia and similarly licenced projects."
CC_BYND_2_0,Creative Commons Attribution–NoDerivs 2.0 Generic,"CC BY-ND 2.0 allows for redistribution, commercial and non-commercial, as long as it is passed along unchanged and in whole, with credit to the author."
CC_BYNC_2_0,Creative Commons Attribution–NonCommercial 2.0 Generic,"CC BY-NC 2.0 lets others remix, tweak, and build upon the author’s work non-commercially, and although their new works must also acknowledge the author and be non-commercial, they don’t have to licence their derivative works on the same terms."
CC_BYNCSA_2_0,Creative Commons Attribution–NonCommercial–ShareAlike 2.0 Generic,"CC BY-NC-SA 2.0 lets others remix, tweak, and build upon the author’s work non-commercially, as long as they credit the author and licence their new creations under the identical terms."
CC_BYNCND_2_0,Creative Commons Attribution–NonCommercial–NoDerivs 2.0 Generic,"CC BY-ND-NC 2.0 is the most restrictive of the six main licences of Creative Commons, only allowing others to download the works and share them with others as long as they credit the author, but they can’t change them in any way or use them commercially."
ODC_PDDL,Open Data Commons Public Domain Dedication and License 1.0,"ODC PDDL is a document intended to allow the user to freely share, modify, and use this work for any purpose and without any restrictions. It is intended for use on databases or their contents (“data”), either together or individually."
ODC_BY,Open Data Commons Attribution License v1.0,"ODC-By-1.0 is a licence agreement intended to allow users to freely share, modify, and use the database concerned subject only to the attribution requirements set out in Section 4 (notices, no sublicensing). Databases can contain a wide variety of types of content, and so this licence only governs the rights over the database, and not the contents of the database individually."
ODC_BL,Open Data Commons Open Database License v1.0,"ODbL is a licence agreement intended to allow users to freely share, modify, and use the database concerned while maintaining this same freedom for others. Some jurisdictions, mainly in the European Union, have specific rights that cover databases, and so this licence addresses these rights, too. This licence is also an agreement in contract for users of this database to act in certain ways in return for accessing the database concerned."
GNU_FDL,GNU Free Documentation License,"GNU Free Documentation License is a form of copyleft intended for use on a manual, textbook or other document to assure everyone the effective freedom to copy and redistribute it, with or without modifications, either commercially or non-commercially."
CC_BY_2_5,Creative Commons Attribution 2.5 Generic,"CC BY 2.5 lets others distribute, remix, tweak, and build upon the author’s work, even commercially, as long as they credit the author for the original creation. This is the most accommodating of licences offered. Recommended for maximum dissemination and use of licenced materials."
CC_BYSA_2_5,Creative Commons Attribution–ShareAlike 2.5 Generic,"CC BY-SA 2.5 lets others remix, tweak, and build upon the author’s work even for commercial purposes, as long as they credit the author and licence their new creations under the identical terms. This licence is often compared to “copyleft” free and open source software licences. All new works based on the original work will carry the same licence, so any derivatives will also allow commercial use. This is the licence used by Wikipedia, and is recommended for materials that would benefit from incorporating content from Wikipedia and similarly licenced projects."
CC_BYND_2_5,Creative Commons Attribution–NoDerivs 2.5 Generic,"CC BY-ND 2.5 allows for redistribution, commercial and non-commercial, as long as it is passed along unchanged and in whole, with credit to the author."
CC_BYNC_2_5,Creative Commons Attribution–NonCommercial 2.5 Generic,"CC BY-NC 2.5 lets others remix, tweak, and build upon the author’s work non-commercially, and although their new works must also acknowledge the author and be non-commercial, they don’t have to licence their derivative works on the same terms."
CC_BYNCSA_2_5,Creative Commons Attribution–NonCommercial–ShareAlike 2.5 Generic,"CC BY-NC-SA 2.5 lets others remix, tweak, and build upon the author’s work non-commercially, as long as they credit the author and licence their new creations under the identical terms."
CC_BYNCND_2_5,Creative Commons Attribution–NonCommercial–NoDerivs 2.5 Generic,"CC BY-ND-NC 2.5 is the most restrictive of the six main licences of Creative Commons, only allowing others to download the works and share them with others as long as they credit the author, but they can’t change them in any way or use them commercially."
EUPL_1_0,European Union Public Licence v.1.0,"Created as a tool for publishing any copyrighted work as open source on the initiative of the European Commission, EUPL v.1.0 is the first European Free/Open Source Software (F/OSS) licence. The final version (v.1.0) was officially approved on 9 January 2007 in three linguistic versions. By a second Decision of 9 January 2008, the European Commission validated the EUPL in all the official languages of the European Union."
EUPL_1_1,European Union Public Licence v. 1.1,"Created as a tool for publishing any copyrighted work as open source on the initiative of the European Commission, EUPL v.1.1 is the first European Free/Open Source Software (F/OSS) licence. The European Commission published the version 1.1 in all the official languages of the European Union by the Decision of 9 January 2009."
EUPL_1_2,European Union Public Licence v. 1.2,"Created as a tool for publishing any copyrighted work as open source, EUPL v.1.2 is legally consistent with the copyright law of all EU countries and is especially well-suited for public administrations sharing IT solutions. It is also widely used by the private sector. The text of the EUPL version 1.2 was published on 19 May 2017."
CC_BY_4_0,Creative Commons Attribution 4.0 International,"CC BY 4.0 lets others distribute, remix, tweak, and build upon the author’s work, even commercially, as long as they credit the author for the original creation. This is the most accommodating of licences offered. Recommended for maximum dissemination and use of licenced materials."
CC_BYNC_4_0,Creative Commons Attribution–NonCommercial 4.0 International,"CC BY-NC 4.0 lets others remix, tweak, and build upon the author’s work non-commercially, and although their new works must also acknowledge the author and be non-commercial, they don’t have to licence their derivative works on the same terms."
CC_BYNCND_4_0,Creative Commons Attribution–NonCommercial–NoDerivatives 4.0 International,"CC BY-ND-NC 4.0 is the most restrictive of the six main licences of Creative Commons, only allowing others to download the works and share them with others as long as they credit the author, but they can’t change them in any way or use them commercially."
CC_BYNCSA_4_0,Creative Commons Attribution–NonCommercial–ShareAlike 4.0 International,"CC BY-NC-SA 4.0 lets others remix, tweak, and build upon the author’s work non-commercially, as long as they credit the author and licence their new creations under the identical terms."
CC_BYND_4_0,Creative Commons Attribution–NoDerivatives 4.0 International,"CC BY-ND 4.0 allows for redistribution, commercial and non-commercial, as long as it is passed along unchanged and in whole, with credit to the author."
CC_BYSA_4_0,Creative Commons Attribution–ShareAlike 4.0 International,"CC BY-SA 4.0 lets others remix, tweak, and build upon the author’s work even for commercial purposes, as long as they credit the author and licence their new creations under the identical terms. This licence is often compared to “copyleft” free and open source software licences. All new works based on the original work will carry the same licence, so any derivatives will also allow commercial use. This is the licence used by Wikipedia, and is recommended for materials that would benefit from incorporating content from Wikipedia and similarly licenced projects."
CC_BYSA_3_0_NL,Naamsvermelding–GelijkDelen 3.0 Nederland,"Published by Creative Commons for Netherlands, Naamsvermelding-GelijkDelen 3.0 Nederland (CC BY-SA 3.0 NL) is a licence permitting any commercial and non-commercial use, as long as credit is given to the author for the original creation and new creations are licenced under the identical terms. All new works based on the original work will carry the same licence, so any derivatives will also allow commercial use."
CC_BY_3_0_NL,Attribution 3.0 Netherlands,"Published by Creative Commons for Netherlands, Naamsvermelding 3.0 Nederland (CC BY 3.0 NL) is a licence permitting any commercial and non-commercial use as long as credit is given to the author for the original creation."
CC_PDM_1_0,Public Domain Mark 1.0,"Published by Creative Commons, Public Domain Mark (CC PDM 1.0) identifies a work as being free of known restrictions under copyright law, including all related and neighboring rights. The user can copy, modify, distribute and perform the work, even for commercial purposes, all without asking permission."
CC_BY_3_0_AT,Attribution 3.0 Austria,"Published by Creative Commons for Austria, Namensnennung 3.0 Österreich (CC BY 3.0 AT) is a licence permitting any commercial and non-commercial use as long as credit is given to the author for the original creation."
DLDE_BYNC_1_0,Data licence Germany – attribution – non-commercial – Version 1.0,"Published by Germany, DL-DE BY-NC 1.0 is a data licence permitting any non-commercial use, as long as credit is given to the author for the original creation. Changes must be marked as such in the source note. The provider mus make available the data, contents and services with the diligence necessary for the discharge of its public tasks."
DLDE_BY_1_0,Data licence Germany – attribution – Version 1.0,"Published by Germany, DL-DE BY 1.0 is a data licence permitting any use commercially and non-commercially, as long as credit is given to the author for the original creation. Changes must be marked as such in the source note. The provider mus make available the data, contents and services with the diligence necessary for the discharge of its public tasks."
